"candidate_name","win_count","avg_percentage"
"EDWIN R BETHUNE JR",1,0.512340592505395
"ELDON RUDD",5,0.680123358413876
"ELFORD A CEDERBERG",1,0.564866973699235
"ELI CRANE",1,0.53856262909869
"ELISE M STEFANIK",5,0.500588379830653
"ELTON GALLEGLY",13,0.613950498270733
"ELWOOD H ""BUD"" HILLIS",1,0.61068167474393
"ELWOOD H HILLIS",3,0.657452142547498
"ELWOOD HILLIS",1,0.617443604642696
"ENID G WALDHOTZ",1,0.458273709033416
"ERIC A ""RICK"" CRAWFORD",4,0.739404377878374
"ERIC A “RICK” CRAWFORD",1,0.737978231240282
"ERIC BURLISON",1,0.708847495703461
"ERIC CANTOR",6,0.648522814817821
"ERIC I CANTOR",1,0.669183823044138
"ERIK PAULSEN",6,0.547340036884404
"ERIN HOUCHIN",1,0.635513769775742
"ERNEST J ISTOOK",1,0.66055522809895
"ERNEST J ISTOOK JR",6,0.666844447555283
"ERNEST L KONNYU",1,0.594793710537149
"ERNIE FLETCHER",3,0.592854879190058
"EUGENE A CHAPPIE",1,0.537004208009652
"EUGENE JOHNSTON",1,0.510551287269767
"EVAN H JENKINS",1,0.678819477938765
"EVAN JENKINS",1,0.553507453650615
"F JAMES SENSENBRENNER",4,0.678645543336228
"F JAMES SENSENBRENNER JR",17,0.78386459533443
"FELIX J GRUCCI JR",1,0.412377683168758
"FLOYD D SPENCE",6,0.569939237611369
"FLOYD SPENCE",7,0.766488061344429
"FRANCIS ROONEY",2,0.640698213738944
"FRANCISCO ""QUICO"" CANSECO",1,0.493968350337218
"FRANK A CREMANS",1,0.509496214912575
"FRANK A LOBIONDO",12,0.629994399522271
"FRANK C GUINTA",2,0.52872331995272
"FRANK D LUCAS",15,0.726952430092712
"FRANK HORTON",7,0.640540344626691
"FRANK J HORTON",1,0.658525671710129
"FRANK R WOLF",17,0.652678746215208
"FRANK RIGGS",3,0.487408339171002
"FRANK TAYLOR",2,0.251975619321772
"FRED GRANDY",4,0.71602847197504
"FRED HEINEMAN",1,0.503936344609962
"FRED J ECKERT",1,0.495675820459157
"FRED UPTON",16,0.621258175747162
"FREDERICK B KELLER",1,0.708438897934951
"FREDERICK S UPTON",2,0.643063641464696
"FRENCH HILL",2,0.519936550816782
"G WILIAM WHITEHURST",1,0.898373458385644
"G WILLIAM WHITEHURST",4,0.913369527448048
"GARLAND ""ANDY"" BARR",1,0.505683168316832
"GARRET GRAVES",4,0.750782220229693
"GARRY BROWN",1,0.505872816810938
"GARY A FRANKS",3,0.491891554672823
"GARY A LEE",2,0.62062093378796
"GARY A MYERS",1,0.567880803774474
"GARY B REVIER",1,0.449898764701868
"GARY G MILLER",7,0.672065493069315
"GARY J PALMER",3,0.851179345625088
"GARY KING",1,0.751833614544954
"GARY PALMER",2,0.726797610118483
"GENE CHAPPIE",2,0.636805366570626
"GENE FONTENOT",2,2.55039681767234
"GENE SNYDER",4,0.576738314862115
"GENE TAYLOR",6,0.630136144603093
"GEOFF DAVIS",4,0.596502095725673
"GEORGE A D SANTOS",1,0.478457458215976
"GEORGE C WORTLEY",3,0.534099747853903
"GEORGE HANSEN",4,0.547420144359921
"GEORGE HOLDING",4,0.555213551504774
"GEORGE J KELLY JR",2,0.554600452485792
"GEORGE M O'BRIEN",5,0.626525247866424
"GEORGE P RADANOVICH",3,0.675814620699744
"GEORGE R NETHERCUTT JR",5,0.566893646973257
"GEORGE RADANOVICH",5,0.714530804874829
"GEORGE W GEKAS",10,0.816843118795167
"GERALD B H SOLOMON",7,0.526406592294312
"GERALD B SOLOMON",3,0.648236977771331
"GIL GUTKNECHT",7,0.553113855117676
"GINNY BROWN-WAITE",4,0.58710253959572
"GLEN MENZE",2,0.284685697967877
"GLENN GROTHMAN",5,0.647108531145459
"GLENN THOMPSON",5,0.664627613798494
"GLENN W THOMPSON",1,0.567199290968973
"GLENN W THOMPSON JR",1,0.73458443495942
"GLENN WILLIAM THOMPSON JR",1,0.678423628331664
"GREG GANSKE",4,0.577724154351534
"GREG GIANFORTE",1,0.508822987147641
"GREG PARKE",1,0.243505088391124
"GREG PENCE",3,0.666653004020158
"GREG RYAN",1,0.297452330089406
"GREG STEUBE",1,0.62258791704238
"GREG WALDEN",11,0.687145978796817
"GREGG HARPER",5,0.691290800370719
"GREGG IMUS",1,1
"GREGORY F MURPHY",2,0.651434595698545
"GUS M BILIRAKIS",7,0.71276542338543
"GUS MICHAEL BILIRAKIS",2,0.570030427191975
"GUY A VANDER JAGT",1,0.699624703744856
"GUY L RESCHENTHALER",1,0.579053462210781
"GUY RESCHENTHALER",2,0.823472963170166
"GUY V MOLINARI",5,0.502562233467844
"GUY VANDER JAGT",7,0.701215665555939
"H JAMES SAXTON",3,0.651825784317165
"H JOEL DECKARD",1,0.51993135971642
"H L ""SONNY"" CALLAHAN",3,0.70085990819915
"H MORGAN GRIFFITH",7,0.693728530694711
"HAL DAUB",4,0.582785972130913
"HAMILTON FISH JR",9,0.639047600455984
"HANK BROWN",5,0.70435147814469
"HAROLD ""HAL"" ROGERS",5,0.731514099821293
"HAROLD C HOLLENBECK",3,0.537121323895473
"HAROLD ROGERS",17,0.849173979841222
"HAROLD S SAWYER",4,0.522492397943566
"HARRIET HAGEMAN",1,0.667040030676394
"HARRIS W FAREWELL",1,0.733923792444952
"HARRIS W FAWELL",6,0.673942613510885
"HAYDEN KEENER III",1,0.685742095387178
"HEATHER WILSON",5,0.517447506075513
"HELEN CHENOWETH",3,0.535607315267102
"HELEN DELICH BENTLEY",5,0.64188826171723
"HENRY BONILLA",7,0.610577821648188
"HENRY BROWN",1,0.60315149106055
"HENRY E BROWN",1,0.878195828701698
"HENRY E BROWN JR",3,0.67120349760283
"HENRY J HYDE",14,0.673496881488915
"HENRYJ HYDE",1,0.60596953876394
"HERBERT H ""HERB"" BATEMAN",2,0.57556167169145
"HERBERT H BATEMAN",7,0.693305746900092
"HOWARD C NIELSON",4,0.711800179953239
"HOWARD COBLE",15,0.727360941603071
"HOWARD P ""BUCK"" MCKEON",11,0.6180142462424
"IAN MAITLAND",2,0.309310429104299
"ILEANA ROS-LEHTINEN",14,0.760658642178249
"J ALEX MCMILLAN",5,0.593326826366503
"J C WATTS JR",4,0.589301675865646
"J D HAYWORTH",6,0.562135811514577
"J DANFORTH QUAYLE",1,0.543749968463491
"J DENNIS HASTERT",11,0.679532879982242
"J FRENCH HILL",3,0.579180635090857
"J GRESHAM BARRETT",4,0.735506371685335
"J HERBERT BURKE",1,0.53882939179007
"J KENNETH ROBINSON",4,0.763674395127191
"J RANDY FORBES",7,0.682033849377529
"J WILLIAM STANTON",3,0.697075282959088
"JACK BERGMAN",4,0.582105428209814
"JACK BUECHNER",2,0.591234668835143
"JACK DAVIS",1,0.515960655517946
"JACK EDWARDS",4,0.705628759787441
"JACK F KEMP",5,0.654553352338579
"JACK FIELDS",7,0.740690748732937
"JACK KEMP",1,0.832684047547698
"JACK KINGSTON",11,0.73955328895357
"JACK METCALF",3,0.527899785802005
"JACK QUINN",5,0.486404492664123
"JACK SWIGERT",1,0.621631303735733
"JACKIE WALORSKI",5,0.567067164748896
"JACL FIELDS",1,0.920454545454545
"JAIME HERRERA",1,0.529718879678838
"JAIME HERRERA BEUTLER",5,0.585414473642547
"JAKE ELLZEY",1,1
"JAKE LATURNER",2,0.563926275090634
"JAMES A COURTER",1,0.518419411303141
"JAMES A LEACH",7,0.586600824473111
"JAMES A S LEACH",1,0.519374633056192
"JAMES ABDNOR",2,0.629522787987219
"JAMES B LONGLEY JR",1,0.518767434514726
"JAMES B RENACCI",3,0.603713486292253
"JAMES C CLEVELAND",2,0.643311436349314
"JAMES C GREENWOOD",6,0.603629382513709
"JAMES COMER",2,0.749483259398558
"JAMES E JEFFRIES",1,0.520285404993226
"JAMES E ROGAN",2,0.504582804681164
"JAMES G MARTIN",4,0.593587814233058
"JAMES H ""JIMMY"" QUILLEN",8,0.776615383694834
"JAMES H QUILLEN",1,0.862150877726975
"JAMES K COYNE",1,0.506912329638601
"JAMES L NELLIGAN",1,0.519182138816796
"JAMES LANKFORD",2,0.606112430482127
"JAMES M COLLINS",2,0.870210403045637
"JAMES M INHOFE",4,0.540422545831458
"JAMES M JEFFORDS",4,0.742869336103559
"JAMES M TALENT",4,0.622568380244972
"JAMES MERRILL JEFFORDS",1,0.792379954493392
"JAMES P ""JIM"" JOHNSON",2,0.576165736814582
"JAMES QUILLEN",1,0.645073893349949
"JAMES R BAIRD",2,0.674204076618136
"JAMES R COMER",2,0.70574676956686
"JAMES T ""JIM"" BROYHILL",3,0.752880802405243
"JAMES T BROYHILL",2,0.848538629359005
"JAMES T WALSH",9,0.496949559847957
"JAMES V HANSEN",11,0.62217908273849
"JAN MEYERS",6,0.671727813137027
"JASON CHAFFETZ",5,0.720417345566789
"JASON LEWIS",2,0.470506117914853
"JASON SMITH",4,0.751588840627182
